System,Ligand_Name,Receptor_Name,Ligand_Gene,Receptor_Gene,Ligand_Class,Functional_Role,Hypothalamic_Nuclei,Notes
Orexin,Orexin-A,Orexin receptor 1,Hcrt,Hcrtr1,neuropeptide,"Sleep-wake regulation, feeding, arousal",LHA;ARH;DMH;PVH;VMH,"Hcrt neurons restricted to LHA; OX1R preferentially binds orexin-A"
Orexin,Orexin-A,Orexin receptor 2,Hcrt,Hcrtr2,neuropeptide,"Sleep-wake regulation, arousal, narcolepsy",LHA;ARH;DMH;PVH;VMH;TU,"OX2R binds both orexins equally; Hcrtr2 mutations cause narcolepsy"
Orexin,Orexin-B,Orexin receptor 1,Hcrt,Hcrtr1,neuropeptide,"Sleep-wake regulation, feeding",LHA;ARH;DMH;PVH;VMH,"Orexin-B lower affinity for OX1R"
Orexin,Orexin-B,Orexin receptor 2,Hcrt,Hcrtr2,neuropeptide,"Sleep-wake regulation, arousal",LHA;ARH;DMH;PVH;VMH;TU,"Equal affinity at OX2R"
Pomc,α-MSH,Melanocortin 3 receptor,Pomc,Mc3r,neuropeptide,"Energy homeostasis, feeding regulation",ARH;VMH;LHA;PVH,"α-MSH from POMC processing; MC3R autoreceptor function"
Pomc,α-MSH,Melanocortin 4 receptor,Pomc,Mc4r,neuropeptide,"Appetite suppression, satiety",ARH;PVH;DMH;LHA;VMH,"MC4R primary anorexigenic target; mutations cause obesity" 
Pomc,ACTH,Melanocortin 3 receptor,Pomc,Mc3r,neuropeptide,"Metabolic regulation",ARH;VMH;LHA,"ACTH from POMC"
Pomc,ACTH,Melanocortin 4 receptor,Pomc,Mc4r,neuropeptide,"HPA axis regulation",ARH;PVH;DMH;VMH,"Also acts at MC4R"
AgRP,AgRP,Melanocortin 3 receptor (antagonist),Agrp,Mc3r,neuropeptide,"Orexigenic, feeding stimulation",ARH;VMH;LHA;PVH,"Endogenous inverse agonist; co-expressed with NPY"
AgRP,AgRP,Melanocortin 4 receptor (antagonist),Agrp,Mc4r,neuropeptide,"Orexigenic, feeding stimulation",ARH;PVH;DMH;VMH,"Antagonizes α-MSH; key energy balance regulator"
Oxytocin,Oxytocin,Oxytocin receptor,Oxt,Oxtr,neuropeptide,"Social behavior, lactation, stress modulation",PVH;SO;VMH;ARH;MPO;MPN;DMH,"Widely distributed OXTR; social bonding"
Vasopressin,Vasopressin,Vasopressin receptor 1A,Avp,Avpr1a,neuropeptide,"Social behavior, aggression",PVH;SO;SCH;DMH;LHA;VMH,"V1A in brain; social recognition"
Vasopressin,Vasopressin,Vasopressin receptor 1B,Avp,Avpr1b,neuropeptide,"HPA axis, ACTH release",PVH;SO;SCH;ARH,"V1B potentiates CRH effects"
Vasopressin,Vasopressin,Vasopressin receptor 2,Avp,Avpr2,neuropeptide,"Water balance, antidiuresis",PVH;SO;ME,"V2R primarily peripheral; minimal CNS"
CRH,CRH,CRF receptor 1,Crh,Crhr1,neuropeptide,"Stress response, HPA axis, anxiety",PVH;ARH;DMH;VMH;LHA,"Primary HPA axis activator"
CRH,CRH,CRF receptor 2,Crh,Crhr2,neuropeptide,"Stress recovery, anxiolysis",PVH;VMH;LHA;ARH,"Opposes some CRHR1 effects"
Urocortin 1,Urocortin 1,CRF receptor 1,Ucn,Crhr1,neuropeptide,"Stress, appetite suppression",LHA;PVH;ARH;DMH;VMH,"Binds both CRHRs with high affinity"
Urocortin 1,Urocortin 1,CRF receptor 2,Ucn,Crhr2,neuropeptide,"Anxiolytic, stress recovery",LHA;PVH;VMH;ARH,"High affinity for both subtypes"
Urocortin 2,Urocortin 2,CRF receptor 2,Ucn2,Crhr2,neuropeptide,"Stress coping, cardiovascular",PVH;ARH;VMH,"CRHR2-selective"
Urocortin 3,Urocortin 3,CRF receptor 2,Ucn3,Crhr2,neuropeptide,"Stress adaptation, feeding",PVH;MPO;VMH;ARH,"CRHR2-selective"
TRH,TRH,TRH receptor 1,Trh,Trhr,neuropeptide,"Thyroid axis, TSH release, thermoregulation",PVH;DMH;ARH;ME,"Hypophysiotropic neurons in PVH"
TRH,TRH,TRH receptor 2,Trh,Trhr2,neuropeptide,"Neuromodulation, thermoregulation",PVH;DMH,"Less characterized than Trhr"
GnRH,GnRH,GnRH receptor,Gnrh1,Gnrhr,neuropeptide,"Reproduction, puberty, LH/FSH release",MPO;AVPV;ARH;ME,"GnRH neurons from olfactory placode"
GHRH,GHRH,GHRH receptor,Ghrh,Ghrhr,neuropeptide,"Growth hormone release",ARH;PVH;ME,"GHRH neurons project to ME"
Somatostatin,Somatostatin,Somatostatin receptor 1,Sst,Sstr1,neuropeptide,"GH inhibition, neuromodulation",PVH;ARH;DMH;VMH;SCH,"Predominant hypothalamic subtype"
Somatostatin,Somatostatin,Somatostatin receptor 2,Sst,Sstr2,neuropeptide,"GH inhibition, hormone control",PVH;ARH;DMH;VMH;SCH;MPO,"Highly expressed; many inhibitory effects"
Somatostatin,Somatostatin,Somatostatin receptor 3,Sst,Sstr3,neuropeptide,"Neuronal regulation",PVH;ARH;DMH;ME,"In PVH, DMH, ARH, ME"
Somatostatin,Somatostatin,Somatostatin receptor 4,Sst,Sstr4,neuropeptide,"Neuronal modulation",PVH;ARH;SCH,"Lower hypothalamic expression"
Somatostatin,Somatostatin,Somatostatin receptor 5,Sst,Sstr5,neuropeptide,"GH and TSH inhibition",PVH;ARH;ME,"Least expressed in hypothalamus"
Neuropeptide Y,Neuropeptide Y,NPY receptor Y1,Npy,Npy1r,neuropeptide,"Orexigenic, feeding, energy homeostasis",ARH;PVH;DMH;VMH;LHA,"Co-expressed with AgRP; fasting-activated"
Neuropeptide Y,Neuropeptide Y,NPY receptor Y2,Npy,Npy2r,neuropeptide,"Presynaptic autoreceptor, feeding",ARH;PVH;DMH;VMH;LHA,"Inhibitory autoreceptor"
Neuropeptide Y,Neuropeptide Y,NPY receptor Y4,Npy,Npy4r,neuropeptide,"Appetite regulation",ARH;PVH;DMH,"Also called PP1 receptor"
Neuropeptide Y,Neuropeptide Y,NPY receptor Y5,Npy,Npy5r,neuropeptide,"Feeding, energy balance",ARH;PVH;DMH;VMH;LHA,"Major feeding receptor subtype"
Galanin,Galanin,Galanin receptor 1,Gal,Galr1,neuropeptide,"Feeding, neuroendocrine modulation",PVH;ARH;DMH;SO;LHA,"Co-expressed with GnRH, OXT, AVP"
Galanin,Galanin,Galanin receptor 2,Gal,Galr2,neuropeptide,"Feeding, reproduction, mood",ARH;PVH;DMH;VMH;LHA,"Higher in feeding nuclei"
Galanin,Galanin,Galanin receptor 3,Gal,Galr3,neuropeptide,"Orexigenic, stress",PVH;VMH;DMH,"In VTA, PVN, VMH, DMH"
GALP,GALP,Galanin receptor 1,Galp,Galr1,neuropeptide,"Feeding, GnRH regulation",ARH;ME,"GALP restricted to ARH/ME"
GALP,GALP,Galanin receptor 2,Galp,Galr2,neuropeptide,"Leptin-regulated feeding",ARH;ME,"GALP neurons express LepR"
VIP,VIP,VPAC1 receptor,Vip,Vipr1,neuropeptide,"Circadian rhythm, prolactin release",SCH;PVH;SO;DMH,"VIP crucial for SCN clock"
VIP,VIP,VPAC2 receptor,Vip,Vipr2,neuropeptide,"Circadian rhythm, feeding",SCH;PVH;DMH;ARH;ME,"Highly expressed in SCN"
PACAP,PACAP,PAC1 receptor,Adcyap1,Adcyap1r1,neuropeptide,"Stress response, HPA axis, feeding",VMH;DMH;PVH;ARH;PMv;SCH,"PACAP neurons regulate feeding" 
PACAP,PACAP,VPAC1 receptor,Adcyap1,Vipr1,neuropeptide,"Neuroendocrine modulation",PVH;SO;VMH;DMH,"PACAP activates VIP receptors"
PACAP,PACAP,VPAC2 receptor,Adcyap1,Vipr2,neuropeptide,"Circadian, metabolism",SCH;PVH;DMH;ARH,"Clock gene regulation"
Kisspeptin,Kisspeptin,Kiss1 receptor,Kiss1,Kiss1r,neuropeptide,"GnRH pulse generator, puberty, reproduction",ARH;AVPV;PVH;ME,"KNDy neurons co-express Tac2, Pdyn" 
Neurotensin,Neurotensin,Neurotensin receptor 1,Nts,Ntsr1,neuropeptide,"Feeding suppression, thermoregulation",LHA;VMH;DMH;ARH;PVH;PMv,"High-affinity receptor" 
Neurotensin,Neurotensin,Neurotensin receptor 2,Nts,Ntsr2,neuropeptide,"Pain modulation",ARH;PVH;DMH;LHA,"Lower affinity"
CCK,CCK,CCK-A receptor,Cck,Cckar,neuropeptide,"Satiety, feeding termination",VMH;DMH;ARH;PVH;LHA,"Peripheral satiety integration"
CCK,CCK,CCK-B receptor,Cck,Cckbr,neuropeptide,"Anxiety, neuroendocrine",PVH;VMH;DMH;ARH,"Also gastrin receptor"
Preprotachykinin-A,Substance P,NK1 receptor,Tac1,Tacr1,neuropeptide,"GnRH/LH release, feeding, stress",PVH;VMH;ARH;DMH;LHA,"From preprotachykinin-A"
Preprotachykinin-A,Neurokinin A,NK2 receptor,Tac1,Tacr2,neuropeptide,"GH and GHRH secretion",PVH;VMH;DMH,"Also encoded by Tac1" 
Neurokinin B,Neurokinin B,NK3 receptor,Tac2,Tacr3,neuropeptide,"GnRH pulse generator, reproduction",ARH;AVPV;DMH;VMH,"Critical for puberty; KNDy neurons" 
Dynorphin,Dynorphin,Kappa opioid receptor,Pdyn,Oprk1,neuropeptide,"GnRH/LH pulsatility, reward, stress",ARH;PVH;SO;DMH;LHA;AVPV,"KNDy neurons with Kiss1/Tac2" 
Enkephalin,Enkephalin,Delta opioid receptor,Penk,Oprd1,neuropeptide,"Analgesia, reward, neuroendocrine",ARH;PVH;DMH;VMH;LHA,"Proenkephalin-derived" 
POMC,β-Endorphin,Mu opioid receptor,Pomc,Oprm1,neuropeptide,"Reward, analgesia, feeding, stress",ARH;PVH;DMH;VMH;LHA,"From POMC in ARH"
Enkephalin,Enkephalin,Mu opioid receptor,Penk,Oprm1,neuropeptide,"Reward, analgesia",ARH;PVH;DMH;LHA,"Cross-receptor activation"
Nociceptin,Nociceptin,NOP receptor,Pnoc,Oprl1,neuropeptide,"Anxiety, stress, feeding",PVH;LHA;DMH;ARH,"Related to opioids; distinct pharmacology" 
MCH,MCH,MCH receptor 1,Pmch,Mchr1,neuropeptide,"Sleep/REM, feeding, energy homeostasis",LHA;ZI;DMH;PVH,"MCH neurons in LHA/ZI" 
PrRP,PrRP,PrRP receptor,Prlh,Prlhr,neuropeptide,"Leptin-mediated thermogenesis, feeding suppression",DMH;PVH;PVi,"PrRP neurons express LepR" 
Neuropeptide S,Neuropeptide S,NPS receptor,Nps,Npsr1,neuropeptide,"Arousal, anxiety reduction, feeding inhibition",PVH;LHA;DMH,"NPS neurons in brainstem" 
Neuromedin U,Neuromedin U,NMU receptor 2,Nmu,Nmur2,neuropeptide,"Anorexigenic, energy expenditure, circadian",PVH;ARH;SCH;DMH;LHA,"NMUR2 in PVN and SCN" 
Neuromedin S,Neuromedin S,NMU receptor 2,Nms,Nmur2,neuropeptide,"Circadian rhythm, feeding",SCH;PVH,"SCN-specific"
CART peptide,CART peptide,GPR160,Cartpt,Gpr160,neuropeptide,"Anorexigenic in ARH; orexigenic in LHA",ARH;LHA;PVH;DMH;ME,"Receptor identity controversial"
Relaxin-1,Relaxin-1,RXFP1,Rln1,Rxfp1,neuropeptide,"Neuroendocrine, cardiovascular",PVH;SO;LHA;ARH,"RXFP1 in excitatory neurons"
Relaxin-3,Relaxin-3,RXFP3,Rln3,Rxfp3,neuropeptide,"Feeding/arousal, stress, anxiety",PVH;SO;LHA;ZI;LPO;MPO,"From nucleus incertus" 
INSL5,INSL5,RXFP4,Insl5,Rxfp4,neuropeptide,"High-fat food preference",VMH;DMH;ARH,"RXFP4 neurons express Mc4r" 
Ghrelin,Ghrelin,Ghrelin receptor,Ghrl,Ghsr,neuropeptide,"Orexigenic, GH release, reward",ARH;VMH;DMH;PVH;LHA,"Activates AgRP/NPY neurons; octanoylation required" 
Secretin,Secretin,Secretin receptor,Sct,Sctr,neuropeptide,"Neuroendocrine, stress",PVH;SO;DMH,"Limited hypothalamic expression"
CGRP,CGRP,CGRP receptor,Calca,Calcrl,neuropeptide,"Feeding suppression, thermoregulation",PVH;DMH;ARH;LHA,"Receptor complex with RAMP1"
Neuropeptide W,Neuropeptide W,NPBW1 receptor,Npw,Npbwr1,neuropeptide,"Feeding, neuroendocrine, pain",PVH;ARH;DMH,"From bovine hypothalamus" 
Neuropeptide B,Neuropeptide B,NPBW1/2 receptors,Npb,Npbwr1,neuropeptide,"Feeding, pain, neuroendocrine",PVH;ARH,"Brominated tryptophan" 
BDNF,BDNF,TrkB,Bdnf,Ntrk2,growth factor,"Energy homeostasis, satiety, neuronal survival",ARH;DMH;VMH;PVH;LHA,"High in VMH, DMH; central metabolism"
BDNF,BDNF,p75NTR,Bdnf,Ngfr,growth factor,"Apoptosis, neurotrophin clearance",ARH;VMH;DMH;LHA,"On tanycytes"
NGF,NGF,TrkA,Ngf,Ntrk1,growth factor,"Neuronal survival, GnRH modulation",ARH;ME;SCH,"Basal forebrain projections"
NGF,NGF,p75NTR,Ngf,Ngfr,growth factor,"Cell fate, apoptosis/survival",ARH;ME,"Tanycytes"
NT-3,NT-3,TrkC,Ntf3,Ntrk3,growth factor,"Development, synapse maturation",Multiple,"Less characterized"
NT-4/5,NT-4/5,TrkB,Ntf5,Ntrk2,growth factor,"TrkB activation, plasticity",VMH;DMH,"Less abundant"
Cortistatin,Cortistatin,Somatostatin receptor 1,Cort,Sstr1,neuropeptide,"Sleep promotion, anti-inflammatory, GH modulation",ARH;PVH;DMH;LHA,"Structurally similar to SST; binds all SSTRs"
Cortistatin,Cortistatin,Somatostatin receptor 2,Cort,Sstr2,neuropeptide,"Sleep promotion, cortical synchronization",ARH;PVH;DMH;VMH,"Higher affinity than SST at some SSTRs"
