System,Ligand_Name,Receptor_Name,Ligand_Gene,Receptor_Gene,Ligand_Class,NT_Class,Functional_Role,Hypothalamic_Nuclei,Notes
Glutamate,Glutamate,AMPA receptor GluA1,,Gria1,neurotransmitter,Glut,Fast excitatory transmission,,Ligand side uses canonical ABC `neurotransmitter` taxonomy token (substring match). Substring 'Glut' also catches 'Glut-GABA' co-release cells.
Glutamate,Glutamate,AMPA receptor GluA2,,Gria2,neurotransmitter,Glut,Fast excitatory transmission (Ca-impermeable),,
Glutamate,Glutamate,AMPA receptor GluA3,,Gria3,neurotransmitter,Glut,Fast excitatory transmission,,
Glutamate,Glutamate,AMPA receptor GluA4,,Gria4,neurotransmitter,Glut,Fast excitatory transmission,,
Glutamate,Glutamate,NMDA receptor GluN1,,Grin1,neurotransmitter,Glut,Coincidence detection / plasticity,,Obligate NMDAR subunit
Glutamate,Glutamate,NMDA receptor GluN2A,,Grin2a,neurotransmitter,Glut,Plasticity (mature),,
Glutamate,Glutamate,NMDA receptor GluN2B,,Grin2b,neurotransmitter,Glut,Plasticity (developmental),,
Glutamate,Glutamate,NMDA receptor GluN2C,,Grin2c,neurotransmitter,Glut,Plasticity (cerebellum/thal),,
Glutamate,Glutamate,NMDA receptor GluN2D,,Grin2d,neurotransmitter,Glut,Plasticity (interneurons),,
Glutamate,Glutamate,Kainate receptor GluK1,,Grik1,neurotransmitter,Glut,Pre/postsynaptic modulation,,
Glutamate,Glutamate,Kainate receptor GluK2,,Grik2,neurotransmitter,Glut,Pre/postsynaptic modulation,,
Glutamate,Glutamate,Metabotropic mGluR1,,Grm1,neurotransmitter,Glut,Group I metabotropic (Gq),,
Glutamate,Glutamate,Metabotropic mGluR2,,Grm2,neurotransmitter,Glut,Group II metabotropic (Gi),,
Glutamate,Glutamate,Metabotropic mGluR3,,Grm3,neurotransmitter,Glut,Group II metabotropic (Gi),,
Glutamate,Glutamate,Metabotropic mGluR5,,Grm5,neurotransmitter,Glut,Group I metabotropic (Gq),,
Glutamate,Glutamate,Metabotropic mGluR7,,Grm7,neurotransmitter,Glut,Group III metabotropic (Gi),,
Glutamate,Glutamate,Metabotropic mGluR8,,Grm8,neurotransmitter,Glut,Group III metabotropic (Gi),,
GABA,GABA,GABA-A α1,,Gabra1,neurotransmitter,GABA,Fast inhibitory transmission,,Substring 'GABA' also catches 'Glut-GABA' and 'GABA-Glyc' co-release cells.
GABA,GABA,GABA-A α2,,Gabra2,neurotransmitter,GABA,Fast inhibitory transmission,,
GABA,GABA,GABA-A α3,,Gabra3,neurotransmitter,GABA,Fast inhibitory transmission,,
GABA,GABA,GABA-A α4,,Gabra4,neurotransmitter,GABA,Tonic inhibition,,
GABA,GABA,GABA-A α5,,Gabra5,neurotransmitter,GABA,Tonic inhibition (hippocampus),,
GABA,GABA,GABA-A β1,,Gabrb1,neurotransmitter,GABA,Fast inhibitory transmission,,
GABA,GABA,GABA-A β2,,Gabrb2,neurotransmitter,GABA,Fast inhibitory transmission,,
GABA,GABA,GABA-A β3,,Gabrb3,neurotransmitter,GABA,Fast inhibitory transmission,,
GABA,GABA,GABA-A γ2,,Gabrg2,neurotransmitter,GABA,Synaptic clustering,,
GABA,GABA,GABA-A δ,,Gabrd,neurotransmitter,GABA,Tonic inhibition,,
GABA,GABA,GABA-B R1,,Gabbr1,neurotransmitter,GABA,Slow inhibitory (Gi/o),,
GABA,GABA,GABA-B R2,,Gabbr2,neurotransmitter,GABA,Slow inhibitory (Gi/o),,
Glycine,Glycine,Glycine receptor α1,,Glra1,neurotransmitter,Glyc,Fast inhibitory (brainstem/spinal),,Only appears in compound classes like 'GABA-Glyc' in ABC taxonomy; substring 'Glyc' matches.
Glycine,Glycine,Glycine receptor α2,,Glra2,neurotransmitter,Glyc,Fast inhibitory transmission,,
Glycine,Glycine,Glycine receptor α3,,Glra3,neurotransmitter,Glyc,Fast inhibitory transmission,,
Glycine,Glycine,Glycine receptor β,,Glrb,neurotransmitter,Glyc,Synaptic clustering,,
Acetylcholine,Acetylcholine,Nicotinic α4,,Chrna4,neuromodulator,Chol,Cholinergic neuromodulation,,
Acetylcholine,Acetylcholine,Nicotinic α7,,Chrna7,neuromodulator,Chol,Pre/postsynaptic Ca-permeable,,
Acetylcholine,Acetylcholine,Nicotinic β2,,Chrnb2,neuromodulator,Chol,Cholinergic transmission,,
Acetylcholine,Acetylcholine,Muscarinic M1,,Chrm1,neuromodulator,Chol,Postsynaptic excitation (Gq),,
Acetylcholine,Acetylcholine,Muscarinic M2,,Chrm2,neuromodulator,Chol,Autoreceptor / inhibitory (Gi),,
Acetylcholine,Acetylcholine,Muscarinic M3,,Chrm3,neuromodulator,Chol,Postsynaptic excitation (Gq),,
Acetylcholine,Acetylcholine,Muscarinic M4,,Chrm4,neuromodulator,Chol,Inhibitory (Gi),,
Acetylcholine,Acetylcholine,Muscarinic M5,,Chrm5,neuromodulator,Chol,DA modulation (Gq),,
Dopamine,Dopamine,Dopamine D1,,Drd1,neuromodulator,Dopa,Excitatory (Gs/olf),,
Dopamine,Dopamine,Dopamine D2,,Drd2,neuromodulator,Dopa,Inhibitory autoreceptor (Gi),,
Dopamine,Dopamine,Dopamine D3,,Drd3,neuromodulator,Dopa,Inhibitory (Gi),,
Dopamine,Dopamine,Dopamine D4,,Drd4,neuromodulator,Dopa,Inhibitory (Gi),,
Dopamine,Dopamine,Dopamine D5,,Drd5,neuromodulator,Dopa,Excitatory (Gs),,
Norepinephrine,Norepinephrine,α1A adrenoceptor,,Adra1a,neuromodulator,Nora,Excitatory (Gq),,
Norepinephrine,Norepinephrine,α1B adrenoceptor,,Adra1b,neuromodulator,Nora,Excitatory (Gq),,
Norepinephrine,Norepinephrine,α1D adrenoceptor,,Adra1d,neuromodulator,Nora,Excitatory (Gq),,
Norepinephrine,Norepinephrine,α2A adrenoceptor,,Adra2a,neuromodulator,Nora,Inhibitory (Gi); autoreceptor,,
