acronym,full_name,division,description
AHN,Anterior hypothalamic nucleus,HY,"Involved in thermoregulation and defensive behaviors. Contains neurons that respond to changes in body temperature and mediate heat dissipation responses."
ARH,Arcuate nucleus,HY,"A critical hub for energy homeostasis containing POMC and AgRP neurons that regulate hunger and satiety. Sits near the median eminence with privileged access to circulating hormones like leptin and ghrelin."
AVPV,Anteroventral periventricular nucleus,HY,"Sexually dimorphic nucleus essential for the LH surge that triggers ovulation in females. Contains kisspeptin neurons that regulate the reproductive axis."
DMH,Dorsomedial hypothalamus,HY,"Integrates circadian and metabolic signals to coordinate feeding behavior and energy expenditure. Important relay for SCN outputs controlling rhythmic behaviors."
LHA,Lateral hypothalamic area,HY,"Known as the feeding center, contains orexin/hypocretin neurons critical for arousal and reward. Damage causes hypophagia while stimulation promotes feeding."
LPO,Lateral preoptic area,HY,"Involved in sleep-wake regulation and thermoregulation. Contains warm-sensitive neurons and GABAergic sleep-promoting populations."
ME,Median eminence,HY,"Circumventricular organ where hypothalamic releasing hormones enter the portal blood system. Lacks a blood-brain barrier, allowing neuroendocrine communication."
MEA,Medial amygdalar nucleus,STR,"Processes pheromonal and social chemosensory information from the vomeronasal organ. Critical for innate social behaviors including mating and aggression."
MPN,Medial preoptic nucleus,HY,"Central regulator of male sexual behavior and parental care. Sexually dimorphic structure that differs in size between males and females."
MPO,Medial preoptic area,HY,"Controls thermoregulation, sleep, and parental behavior. Contains GABAergic neurons that promote sleep by inhibiting arousal centers."
PH,Posterior hypothalamus,HY,"Contains histaminergic neurons that promote wakefulness and arousal. Also involved in thermoregulation and autonomic responses to stress."
PMd,Premammillary nucleus dorsal,HY,"Mediates defensive behaviors in response to predator threats. Receives input from the amygdala and projects to the periaqueductal gray."
PMv,Premammillary nucleus ventral,HY,"Key node in reproductive behavior circuits, particularly in males. Activated during social encounters and involved in territorial aggression."
PVH,Paraventricular hypothalamic nucleus,HY,"Master controller of the stress response via CRH neurons projecting to the pituitary. Also contains oxytocin and vasopressin magnocellular neurons."
PVHd,Paraventricular hypothalamic nucleus dorsal,HY,"Dorsal subdivision of PVH containing parvocellular neurons. Projects to brainstem and spinal cord for autonomic control."
PVi,Periventricular hypothalamic nucleus intermediate,HY,"Contains somatostatin neurons that inhibit growth hormone release. Part of the periventricular zone lining the third ventricle."
PVp,Periventricular hypothalamic nucleus posterior,HY,"Involved in neuroendocrine regulation in the caudal hypothalamus. Contains neurons projecting to the median eminence."
PVpo,Periventricular hypothalamic nucleus preoptic,HY,"Rostral periventricular zone involved in GnRH regulation. Contains kisspeptin neurons in rodents that regulate puberty onset."
SCH,Suprachiasmatic nucleus,HY,"The master circadian pacemaker of the brain, entrained by light via the retinohypothalamic tract. Contains approximately 20000 neurons whose molecular clocks synchronize daily rhythms."
SFO,Subfornical organ,HY,"Circumventricular organ that senses blood-borne signals related to fluid balance. Critical for thirst and cardiovascular regulation via angiotensin II detection."
SO,Supraoptic nucleus,HY,"Contains magnocellular neurons producing oxytocin and vasopressin. Projects directly to the posterior pituitary for hormone release into circulation."
STN,Subthalamic nucleus,HY,"Part of the basal ganglia circuitry involved in movement control. Dysfunction is implicated in Parkinson's disease and is a target for deep brain stimulation."
TU,Tuberal nucleus,HY,"Located in the tuberal region, involved in feeding regulation. Contains neurons expressing receptors for metabolic hormones."
VMH,Ventromedial hypothalamus,HY,"Classical satiety center that inhibits feeding when stimulated. Also critical for female sexual behavior and defensive aggression."
ZI,Zona incerta,HY,"Subthalamic region receiving diverse inputs and involved in attention and arousal. Contains GABAergic neurons that gate sensory information flow."
AAA,Anterior amygdalar area,STR,"Transition zone between the amygdala and neighboring structures. Involved in processing emotional and olfactory information."
ACB,Nucleus accumbens,STR,"Key structure in the ventral striatum mediating reward and motivation. Central to the mesolimbic dopamine pathway and implicated in addiction."
AD,Anterodorsal nucleus of thalamus,TH,"Part of the anterior thalamic group relaying head direction signals. Critical for spatial navigation and episodic memory via connections with the hippocampus."
ADP,Anterodorsal preoptic nucleus,HY,"Small preoptic nucleus involved in autonomic regulation. Contributes to thermoregulatory and sleep-wake circuits."
AM,Anteromedial nucleus of thalamus,TH,"Anterior thalamic relay for limbic circuits. Involved in learning and memory through connections with the hippocampal formation and cingulate cortex."
ASO,Accessory supraoptic group,HY,"Scattered magnocellular neurons near the supraoptic nucleus. Produces oxytocin and vasopressin, supplementing the main supraoptic nucleus output."
AV,Anteroventral nucleus of thalamus,TH,"Anterior thalamic nucleus conveying hippocampal and mammillary body inputs. Important for spatial memory and head direction signaling."
AVP,Anteroventral preoptic nucleus,HY,"Preoptic region involved in fluid balance and cardiovascular regulation. Contains osmosensitive neurons that modulate vasopressin release."
BA,Bed nucleus of the anterior commissure,STR,"Small nucleus associated with the anterior commissure fiber tract. Involved in interhemispheric communication and limbic processing."
