,count,mean,std,min,25%,50%,75%,max,mean_projection
TMv,50.0,0.01912213251895911,0.06887240407037333,0.0,0.00013348856676723042,0.000467932512221299,0.0027600529431499967,0.4233299339893216,0.01912213251895911
PVa,50.0,0.0271291352597565,0.11090137145931664,0.0,0.0,0.0,0.0003846260872483748,0.5989504520298349,0.0271291352597565
PVH,50.0,0.03519835599831916,0.10613600767724796,0.0,0.0,1.9449409236130948e-05,0.005656764519826312,0.5558192540237994,0.03519835599831916
PVHap,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHd,50.0,0.036738643890477006,0.09252122265079546,0.0,0.0,4.861962721823455e-05,0.010985932332109344,0.43578406502754685,0.036738643890477006
PVHm,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADP,50.0,0.022469166486459722,0.10469660319392354,0.0,0.0,0.0,0.0015695499175382422,0.7199325981496372,0.022469166486459722
PVHmm,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHmpd,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHN,50.0,0.04551092613634853,0.1281359501140133,0.0,0.0,1.7328241998619485e-05,0.002538999130282347,0.6064616909670877,0.04551092613634853
PVHp,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHpm,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHpv,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVi,50.0,0.03128371399257882,0.11026731140440572,0.0,3.0901053247992263e-07,5.6759840794704486e-05,0.0009485686724324781,0.5363900833708947,0.03128371399257882
PVp,50.0,0.01289992304122069,0.055209594740648814,0.0,3.231936785997138e-05,0.00013550055537454162,0.0007886907282988598,0.3330426228717143,0.01289992304122069
PVpo,50.0,0.015418270958994942,0.07455092334520119,0.0,3.7178882670698695e-07,2.06780627974863e-05,0.0003135395750377627,0.5011380686084533,0.015418270958994942
PVR,50.0,0.043753363428357055,0.1206151501048958,0.0,2.5838223201406975e-05,0.0001255127889841059,0.0049645231478391925,0.5079081900269523,0.043753363428357055
PVZ,50.0,0.05071424120996871,0.1392457882354117,0.0,1.2735971321865122e-05,0.0001163642066002713,0.0034448165239714165,0.608077175745828,0.05071424120996871
RCH,50.0,0.027305721563520638,0.10098678161814882,0.0,7.342063715501596e-07,1.9668154272367212e-05,0.006199368724152192,0.5421599134068289,0.027305721563520638
LHA,50.0,0.03080532523276728,0.08238308451405804,0.0,7.664641384893116e-06,0.00037195564125846596,0.004247816366362914,0.4029783083131502,0.03080532523276728
LM,50.0,0.00495437197453767,0.012635864324466985,0.0,6.880703563743633e-05,0.00028452354954950585,0.0012633998785847678,0.061631647331735796,0.00495437197453767
ARH,50.0,0.026917107583786352,0.11001624456263812,0.0,1.0096330679137192e-05,7.49215271627112e-05,0.0009405676895438576,0.6107932515511865,0.026917107583786352
LPO,50.0,0.01878268344453132,0.06389981055314913,0.0,5.931350939185916e-06,0.00022033177738317784,0.008101558912498892,0.4364425897897017,0.01878268344453132
AVP,50.0,0.028011199870892813,0.10169529027881095,0.0,0.0,2.0909188302477234e-05,0.0011128615200137475,0.5258173956717189,0.028011199870892813
AVPV,50.0,0.017579101344932218,0.07940052141652476,0.0,1.2111466029730492e-05,6.524493664244146e-05,0.0006183405873296208,0.545609261876895,0.017579101344932218
SCH,50.0,0.019518624768513057,0.08512578833800577,0.0,0.0,7.4217622707196995e-09,0.0010653954837921867,0.4789209555575959,0.019518624768513057
LZ,50.0,0.059715010135976826,0.12605353104639264,3.9835647186022314e-07,6.089951310872603e-05,0.0002998813577208783,0.023914258336070693,0.4205368671985831,0.059715010135976826
MBO,50.0,0.013884145083962424,0.05795102001744555,4.98667493827324e-09,8.201401239941548e-05,0.00021422247085219775,0.0015802710611939742,0.398327812670523,0.013884145083962424
ASO,50.0,0.018543744804104815,0.059066915313728235,0.0,0.0,0.0,0.0002986817830924702,0.32879446244440425,0.018543744804104815
SFO,50.0,0.0014022075168353349,0.004444206528793953,0.0,2.68605639216054e-06,5.369645575661457e-05,0.0008271523641386308,0.02461916018326397,0.0014022075168353349
SBPV,50.0,0.03336880597835664,0.11963711078515989,0.0,0.0,0.0,0.0013228469530612397,0.5166385593493918,0.03336880597835664
PST,50.0,0.016543798881906123,0.046935185892702666,0.0,0.0,1.158612472333015e-05,0.00433400477552766,0.2734434056301035,0.016543798881906123
PSTN,50.0,0.017229401311726605,0.048328051467755366,0.0,0.0,4.762346308121556e-05,0.007774401864086204,0.27244681110229807,0.017229401311726605
SO,50.0,0.020986731743516774,0.07085237226582257,0.0,3.5644630218666955e-06,0.0001501792714572534,0.0031937130833333332,0.44216455124328335,0.020986731743516774
NC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHdp,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHf,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEPO,50.0,0.01230504942441669,0.048096298952660675,0.0,2.0028427310790076e-10,3.343909036470576e-05,0.0009792105596610292,0.319326103835135,0.01230504942441669
PVHlp,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHmpv,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEZ,50.0,0.054003532101605856,0.13039156795009402,8.72458933564816e-07,2.9981103069816316e-05,0.00017997726806620015,0.006357223658832602,0.481606177803603,0.054003532101605856
STN,50.0,0.009263352767906215,0.04357447844647513,0.0,0.0,1.9499502270998766e-05,0.0006771251508133225,0.2984217441105534,0.009263352767906215
MM,50.0,0.0030154029050880648,0.008582972774450706,0.0,2.31025320099706e-05,9.271816237983472e-05,0.0006240882299152487,0.0461735453496658,0.0030154029050880648
MPN,50.0,0.026588400926421656,0.10010307667301527,0.0,0.0,1.8758543391591102e-07,0.001219565329461193,0.6663370013455945,0.026588400926421656
MPO,50.0,0.029619566851197657,0.10022970506018697,0.0,0.0,3.9358971149398446e-05,0.0026494239364244438,0.5797602029764862,0.029619566851197657
SUM,50.0,0.012997977076225534,0.03346722410717489,1.7856873575731866e-08,6.072373249080441e-05,0.0001932378013112814,0.00336557351375206,0.1340287208025112,0.012997977076225534
TM,50.0,0.018719504204870674,0.06904909407757914,0.0,0.00013678664723537756,0.0003528768279145883,0.0021274484355580246,0.4244114506647124,0.018719504204870674
TU,50.0,0.02812502714095419,0.1021586177188961,0.0,8.745024705195829e-05,0.00028649545258702325,0.006092810291786309,0.5101692679325482,0.02812502714095419
